id,text,kakusu
1,あ,3
2,い,2
3,う,2
4,え,2
5,お,3
6,か,3
7,き,4
8,く,1
9,け,3
10,こ,2
11,さ,3
12,し,1
13,す,2
14,せ,3
15,そ,1
16,た,4
17,ち,2
18,つ,1
19,て,1
20,と,2
21,な,4
22,に,3
23,ぬ,2
24,ね,2
25,の,1
26,は,3
27,ひ,1
28,ふ,4
29,へ,1
30,ほ,4
31,ま,3
32,み,2
33,む,3
34,め,2
35,も,3
36,や,3
37,ゆ,2
38,よ,2
39,ら,2
40,り,2
41,る,1
42,れ,2
43,ろ,1
44,わ,2
45,を,3
46,ん,1
47,が,5
48,ぎ,6
49,ぐ,3
50,げ,5
51,ご,4
52,ざ,5
53,じ,3
54,ず,4
55,ぜ,5
56,ぞ,3
57,だ,6
58,ぢ,4
59,づ,3
60,で,3
61,ど,4
62,ば,5
63,び,3
64,ぶ,6
65,べ,3
66,ぼ,6
67,ぱ,4
68,ぴ,2
69,ぷ,5
70,ぺ,2
71,ぽ,5
72,ゃ,3
73,ゅ,2
74,ょ,2
75,ぁ,3
76,ぃ,2
77,ぅ,2
78,ぇ,2
79,ぉ,3
