id,text,kakusu
1,ア,2
2,イ,2
3,ウ,3
4,エ,3
5,オ,3
6,カ,2
7,キ,3
8,ク,2
9,ケ,3
10,コ,2
11,サ,3
12,シ,3
13,ス,2
14,セ,2
15,ソ,2
16,タ,3
17,チ,3
18,ツ,3
19,テ,3
20,ト,2
21,ナ,2
22,ニ,2
23,ヌ,2
24,ネ,4
25,ノ,1
26,ハ,2
27,ヒ,2
28,フ,1
29,ヘ,1
30,ホ,4
31,マ,2
32,ミ,3
33,ム,2
34,メ,2
35,モ,3
36,ヤ,2
37,ユ,2
38,ヨ,4
39,ラ,2
40,リ,2
41,ル,2
42,レ,1
43,ロ,3
44,ワ,2
45,ヲ,3
46,ン,2
47,ガ,4
48,ギ,5
49,グ,4
50,ゲ,5
51,ゴ,4
52,ザ,5
53,ジ,5
54,ズ,4
55,ゼ,4
56,ゾ,4
57,ダ,5
58,ヂ,5
59,ヅ,5
60,デ,5
61,ド,4
62,バ,4
63,ビ,4
64,ブ,3
65,ベ,3
66,ボ,6
67,パ,3
68,ピ,3
69,プ,2
70,ペ,2
71,ポ,5
72,ャ,2
73,ュ,2
74,ョ,4
75,ァ,2
76,ィ,2
77,ゥ,3
78,ェ,3
79,ォ,3
